p[0],p[1]
0.192138671875,0.324462890625
0.193603515625,0.2821044921875
0.291748046875,0.318115234375
0.2789306640625,0.2957763671875
0.273193359375,0.3197021484375
0.0452880859375,0.0748291015625
0.2415771484375,0.26806640625
0.093017578125,0.1053466796875
0.0714111328125,0.114990234375
0.1846923828125,0.28076171875
0.290771484375,0.310791015625
0.0870361328125,0.123779296875
0.30908203125,0.3341064453125
0.232421875,0.3134765625
0.268798828125,0.2735595703125
0.111572265625,0.13623046875
0.2581787109375,0.298583984375
0.2288818359375,0.290283203125
0.2822265625,0.3255615234375
0.2244873046875,0.2344970703125
0.172607421875,0.202392578125
0.2919921875,0.302490234375
0.26708984375,0.3206787109375
0.0787353515625,0.1358642578125
0.10400390625,0.124267578125
0.1414794921875,0.1689453125
0.0823974609375,0.1063232421875
0.0826416015625,0.0931396484375
0.116455078125,0.1177978515625
0.3197021484375,0.35205078125
0.2762451171875,0.3787841796875
0.0728759765625,0.0989990234375
0.116455078125,0.13134765625
0.2828369140625,0.2886962890625
0.2928466796875,0.3292236328125
0.1033935546875,0.1072998046875
0.105712890625,0.1163330078125
0.3140869140625,0.333740234375
0.212646484375,0.2242431640625
0.26318359375,0.3165283203125
0.3372802734375,0.3699951171875
0.11279296875,0.11181640625
0.104248046875,0.1112060546875
0.2615966796875,0.3477783203125
0.0999755859375,0.10986328125
0.2083740234375,0.2694091796875
0.3023681640625,0.2999267578125
0.1357421875,0.1409912109375
0.1295166015625,0.155517578125
0.2821044921875,0.302001953125
0.178955078125,0.194580078125
0.2943115234375,0.3951416015625
0.19287109375,0.247802734375
0.0927734375,0.123291015625
0.079833984375,0.1197509765625
0.2305908203125,0.2471923828125
0.2889404296875,0.2803955078125
0.25537109375,0.2777099609375
0.2799072265625,0.299072265625
0.244140625,0.252197265625
0.28173828125,0.2923583984375
0.0947265625,0.1080322265625
0.056884765625,0.0869140625
0.3643798828125,0.4403076171875
0.259033203125,0.290771484375
0.2425537109375,0.321044921875
0.2552490234375,0.2734375
0.24267578125,0.3680419921875
0.3260498046875,0.319580078125
0.0888671875,0.0982666015625
0.112548828125,0.1112060546875
0.13134765625,0.1439208984375
0.13232421875,0.1348876953125
0.109130859375,0.112548828125
0.09619140625,0.1087646484375
0.2745361328125,0.3004150390625
0.102294921875,0.1068115234375
0.308349609375,0.3145751953125
0.2557373046875,0.2562255859375
0.3250732421875,0.3756103515625
0.1763916015625,0.2835693359375
0.106201171875,0.171875
0.0860595703125,0.0955810546875
0.0794677734375,0.08935546875
0.11474609375,0.1185302734375
0.2816162109375,0.3800048828125
0.1136474609375,0.1190185546875
0.1129150390625,0.1209716796875
0.2962646484375,0.357666015625
0.09228515625,0.0948486328125
0.0943603515625,0.1124267578125
0.2958984375,0.307861328125
0.11962890625,0.1326904296875
0.2822265625,0.27197265625
0.1578369140625,0.17431640625
0.0709228515625,0.076904296875
0.2740478515625,0.3048095703125
0.3173828125,0.3189697265625
0.2684326171875,0.3046875
0.2418212890625,0.253662109375
